unstable,stable,layer
0.09435348957777023,0.07010489702224731,1
0.1037202775478363,0.06114457547664642,2
0.11106492578983307,0.056399960070848465,3
0.11903941631317139,0.052455708384513855,4
0.1270056813955307,0.05306801199913025,5
0.13622388243675232,0.0527041032910347,6
0.14274191856384277,0.05408361554145813,7
0.14862820506095886,0.053164560347795486,8
0.1512395590543747,0.049723267555236816,9
0.1121719479560852,0.03614087030291557,10
0.12046748399734497,0.03560914099216461,11
0.1296103149652481,0.03637494891881943,12
0.13810908794403076,0.038348495960235596,13
0.14756661653518677,0.037420790642499924,14
0.1564502865076065,0.03824232891201973,15
0.16685925424098969,0.03940770402550697,16
0.1856338232755661,0.03942147642374039,17
0.19156132638454437,0.03871171176433563,18
0.12101352959871292,0.02800757810473442,19
0.1294301450252533,0.02978816069662571,20
0.13631178438663483,0.03231197968125343,21
0.14055189490318298,0.03537347912788391,22
0.1430366486310959,0.03880751505494118,23
0.1410343050956726,0.044694382697343826,24
0.14007270336151123,0.055824924260377884,25
0.13809095323085785,0.07602109014987946,26
# 0.3568779528141022,0.10226678848266602,27
