unstable,stable,layer
0.17997784912586212,0.034261394292116165,1
0.2028902918100357,0.033073216676712036,2
0.22953739762306213,0.029508385807275772,3
0.2433559149503708,0.03049507737159729,4
0.2773159444332123,0.02727479673922062,5
0.29840022325515747,0.027918919920921326,6
0.27702581882476807,0.028835834935307503,7
0.3243147134780884,0.028437187895178795,8
0.35678407549858093,0.027502484619617462,9
0.26723548769950867,0.019894670695066452,10
0.2703912556171417,0.01947011426091194,11
0.2793727517127991,0.02310517244040966,12
0.2922488749027252,0.02651696279644966,13
0.3055662214756012,0.028588779270648956,14
0.316119909286499,0.029851432889699936,15
0.367795467376709,0.032771021127700806,16
0.4415881633758545,0.03513180464506149,17
0.45580896735191345,0.03862664848566055,18
0.34780532121658325,0.029519880190491676,19
0.38112378120422363,0.03331970050930977,20
0.4139270782470703,0.03871589154005051,21
0.44136056303977966,0.04740745946764946,22
0.4724411368370056,0.06257633864879608,23
0.49924924969673157,0.09963808208703995,24
0.533653974533081,0.14635980129241943,25
0.5898206233978271,0.20148098468780518,26
# 1.6097255945205688,0.2637520134449005,27
