num,y,x
0,0.4,-2.0511111308788927
1,0.4,-2.0345854519573874
2,0.4,-2.0180597730358816
3,0.4,-2.001534094114376
4,0.4,-1.9850084151928704
5,0.4,-1.9684827362713648
6,0.4,-1.9519570573498592
7,0.6000000000000001,-1.9354313784283537
8,0.8,-1.918905699506848
9,0.8,-1.9023800205853425
10,0.8,-1.885854341663837
11,0.8,-1.8693286627423313
12,0.8,-1.8528029838208258
13,0.4,-1.8362773048993202
14,0.8,-1.8197516259778146
15,0.8,-1.8032259470563092
16,0.8,-1.7867002681348034
17,0.6000000000000001,-1.770174589213298
18,0.6000000000000001,-1.7536489102917923
19,0.0,-1.737123231370287
20,0.2,-1.720597552448781
21,0.4,-1.7040718735272757
22,0.6000000000000001,-1.6875461946057702
23,1.2000000000000002,-1.6710205156842646
24,1.6,-1.654494836762759
25,1.7999999999999998,-1.6379691578412534
26,1.8,-1.6214434789197478
27,2.0,-1.6049177999982422
28,2.4,-1.5883921210767367
29,2.8,-1.571866442155231
30,2.8000000000000003,-1.5553407632337255
31,3.2,-1.53881508431222
32,3.2,-1.5222894053907143
33,2.6,-1.5057637264692088
34,2.5999999999999996,-1.4892380475477032
35,3.0,-1.4727123686261976
36,3.0000000000000004,-1.456186689704692
37,3.8000000000000003,-1.4396610107831864
38,4.2,-1.4231353318616808
39,4.2,-1.4066096529401753
40,4.0,-1.3900839740186697
41,4.4,-1.373558295097164
42,4.0,-1.3570326161756587
43,4.6000000000000005,-1.340506937254153
44,5.4,-1.3239812583326476
45,6.4,-1.3074555794111418
46,6.4,-1.2909299004896364
47,8.0,-1.2744042215681306
48,7.800000000000001,-1.2578785426466252
49,7.4,-1.2413528637251194
50,7.4,-1.224827184803614
51,8.200000000000001,-1.2083015058821083
52,6.8,-1.191775826960603
53,7.200000000000001,-1.175250148039097
54,7.4,-1.1587244691175917
55,7.6000000000000005,-1.142198790196086
56,7.0,-1.1256731112745806
57,8.2,-1.109147432353075
58,8.0,-1.0926217534315694
59,8.600000000000001,-1.0760960745100638
60,8.200000000000001,-1.0595703955885583
61,10.200000000000001,-1.0430447166670527
62,10.8,-1.026519037745547
63,11.8,-1.0099933588240415
64,12.4,-0.9934676799025359
65,14.8,-0.9769420009810303
66,14.000000000000002,-0.9604163220595248
67,15.400000000000002,-0.9438906431380192
68,15.2,-0.9273649642165136
69,14.8,-0.910839285295008
70,14.8,-0.8943136063735024
71,16.400000000000002,-0.8777879274519969
72,17.400000000000002,-0.8612622485304913
73,19.6,-0.8447365696089857
74,21.799999999999997,-0.8282108906874801
75,21.6,-0.8116852117659745
76,25.6,-0.7951595328444689
77,26.599999999999998,-0.7786338539229634
78,29.8,-0.7621081750014578
79,32.800000000000004,-0.7455824960799522
80,41.2,-0.7290568171584466
81,42.6,-0.7125311382369413
82,48.2,-0.6960054593154357
83,50.99999999999999,-0.6794797803939301
84,60.8,-0.6629541014724245
85,65.8,-0.6464284225509189
86,75.60000000000001,-0.6299027436294133
87,87.0,-0.6133770647079078
88,102.20000000000002,-0.5968513857864022
89,113.0,-0.5803257068648966
90,126.8,-0.563800027943391
91,142.20000000000002,-0.5472743490218854
92,158.2,-0.5307486701003798
93,177.20000000000002,-0.5142229911788743
94,205.60000000000002,-0.4976973122573687
95,240.8,-0.4811716333358631
96,282.0,-0.4646459544143575
97,330.40000000000003,-0.44812027549285194
98,386.8,-0.43159459657134636
99,445.20000000000005,-0.4150689176498408
100,517.4,-0.3985432387283352
101,600.0,-0.3820175598068296
102,685.0,-0.365491880885324
103,792.0,-0.34896620196381845
104,901.8000000000001,-0.33244052304231286
105,1045.4,-0.3159148441208073
106,1185.8,-0.2993891651993017
107,1359.8000000000002,-0.2828634862777961
108,1547.4,-0.26633780735629053
109,1739.2000000000003,-0.24981212843478495
110,1951.2,-0.23328644951327937
111,2201.6000000000004,-0.2167607705917738
112,2451.8,-0.20023509167026843
113,2716.6000000000004,-0.18370941274876285
114,3038.8,-0.16718373382725726
115,3326.4,-0.15065805490575168
116,3658.0000000000005,-0.1341323759842461
117,3958.6000000000004,-0.11760669706274052
118,4262.400000000001,-0.10108101814123494
119,4536.8,-0.08455533921972935
120,4805.800000000001,-0.06802966029822377
121,5000.8,-0.05150398137671819
122,5224.400000000001,-0.034978302455212607
123,5412.6,-0.018452623533706802
124,5558.0,-0.0019269446122014422
125,5683.200000000001,0.014598734309304362
126,5765.000000000001,0.031124413230809722
127,5780.800000000001,0.047650092152315526
128,5684.000000000001,0.06417577107382089
129,5495.200000000001,0.08070144999532625
130,5175.0,0.09722712891683205
131,4745.8,0.11375280783833741
132,4198.400000000001,0.13027848675984322
133,3589.0,0.14680416568134858
134,2968.2000000000007,0.16332984460285438
135,2365.4,0.17985552352435974
136,1814.6,0.19638120244586554
137,1350.9999999999998,0.2129068813673709
138,995.4000000000002,0.2294325602888767
139,705.4,0.24595823921038207
140,493.6000000000001,0.2624839181318879
141,346.80000000000007,0.27900959705339323
142,242.40000000000003,0.29553527597489904
143,172.4,0.3120609548964044
144,125.00000000000003,0.3285866338179102
145,96.00000000000001,0.34511231273941556
146,75.80000000000001,0.36163799166092137
147,63.6,0.3781636705824267
148,51.00000000000001,0.39468934950393253
149,46.800000000000004,0.4112150284254379
150,42.80000000000001,0.4277407073469437
151,42.6,0.44426638626844905
152,40.4,0.46079206518995486
153,42.6,0.4773177441114602
154,42.800000000000004,0.493843423032966
155,47.4,0.5103691019544714
156,46.8,0.5268947808759772
157,45.8,0.5434204597974825
158,42.6,0.5599461387189884
159,41.800000000000004,0.5764718176404937
160,35.2,0.5929974965619995
161,29.6,0.6095231754835049
162,30.8,0.6260488544050102
163,27.0,0.642574533326516
164,23.799999999999997,0.6591002122480214
165,20.0,0.6756258911695272
166,19.6,0.6921515700910326
167,15.200000000000003,0.7086772490125384
168,15.000000000000002,0.7252029279340437
169,13.000000000000002,0.7417286068555495
170,13.200000000000003,0.7582542857770549
171,11.600000000000001,0.7747799646985607
172,11.0,0.7913056436200661
173,10.0,0.8078313225415719
174,11.200000000000001,0.8243570014630772
175,10.6,0.840882680384583
176,10.200000000000001,0.8574083593060884
177,9.399999999999999,0.8739340382275942
178,8.600000000000001,0.8904597171490995
179,6.800000000000001,0.9069853960706054
180,7.2,0.9235110749921107
181,6.800000000000001,0.9400367539136165
182,6.2,0.9565624328351219
183,6.2,0.9730881117566277
184,6.800000000000001,0.989613790678133
185,5.4,1.0061394695996388
186,4.6,1.0226651485211442
187,4.6000000000000005,1.03919082744265
188,4.0,1.0557165063641554
189,2.8000000000000003,1.0722421852856612
190,2.2,1.0887678642071665
191,1.8,1.1052935431286723
192,1.2,1.1218192220501777
193,1.0,1.138344900971683
194,1.0,1.1548705798931889
195,1.0,1.1713962588146942
196,1.0,1.1879219377362
197,1.0,1.2044476166577054
198,0.6000000000000001,1.2209732955792112
199,0.4,1.2374989745007166
